DRY RUN — nothing will be written. Add --apply to commit.
id,slug,status,blocks,fields,cards,preserved,identical,reason
4,home,ready,48,131,1,0,yes,
5,how-it-works,ready,55,108,2,0,yes,
6,assets,ready,27,216,0,0,yes,
7,technology,ready,47,141,5,0,yes,
8,platform-infrastructure,ready,38,137,5,0,yes,
9,gemstone-programs,ready,64,325,4,0,yes,
10,asset-registry,ready,67,163,3,0,yes,
29,redemption-portal,ready,40,94,5,0,yes,
30,gemstone-tokenization,ready,57,158,4,0,yes,
31,physical-redemption,ready,54,137,5,0,yes,
32,digital-asset-passports,ready,70,121,1,0,yes,
33,enterprise,ready,37,137,3,0,yes,
34,enterprise-tokenization,ready,38,127,6,0,yes,
35,gemstone-owners,ready,48,100,6,0,yes,
36,gemstone-buyers,ready,37,130,6,0,yes,
37,licensing-white-label,ready,48,117,7,0,yes,
38,future-infrastructure,ready,35,114,4,0,yes,
39,investors,ready,51,140,5,0,yes,
40,about,ready,37,76,1,0,yes,
41,governance,ready,33,87,4,0,yes,
42,contact,ready,28,95,2,0,yes,
43,program-overview,ready,29,73,4,0,yes,
44,discount-methodology,ready,42,89,3,0,yes,
45,token-acquisition,ready,44,132,6,0,yes,
46,restricted-jurisdictions,ready,37,80,3,0,yes,
47,early-participation,ready,26,88,4,0,yes,
48,eligibility-kyc,ready,57,101,4,0,yes,
49,faq,ready,23,89,1,0,yes,
50,independent-verification,ready,49,119,2,0,yes,
51,custody-vault-structure,ready,55,110,5,0,yes,
52,proof-of-reserves,ready,52,132,4,0,yes,
53,corporate-development,ready,48,144,4,0,yes,
54,news,ready,41,84,1,0,yes,
55,resources,ready,49,111,1,0,yes,
56,documents,ready,43,134,3,0,yes,
57,whitepaper,ready,41,114,6,0,yes,
58,risk-disclosure,ready,37,81,3,0,yes,
59,anti-fraud-notice,ready,53,116,4,0,yes,
60,participant-portal,ready,69,161,5,0,yes,
61,early-participation-program,ready,60,144,5,0,yes,
ready=40 migrated=0 refused=0 skipped=0 error=0
