OLD (Next.js)                     NEW (WordPress)                     status  bare  note
/                                 /                                      200     -  path preserved
/how-it-works                     /how-it-works/                         200   200  path preserved
/assets                           /assets/                               200   200  path preserved
/technology                       /technology/                           200   200  path preserved
/platform-infrastructure          /platform-infrastructure/              200   200  path preserved
/gemstone-programs                /gemstone-programs/                    200   200  path preserved
/asset-registry                   /asset-registry/                       200   200  path preserved
/aquamarine                       /aquamarine/                           200   200  path preserved
/emerald                          /emerald/                              200   200  path preserved
/peridot                          /peridot/                              200   200  path preserved
/ruby                             /ruby/                                 200   200  path preserved
/tourmaline                       /tourmaline/                           200   200  path preserved
/natural-raw-charoite             /natural-raw-charoite/                 200   200  path preserved
/natural-rough-alexandrite        /natural-rough-alexandrite/            200   200  path preserved
/natural-rough-aquamarine         /natural-rough-aquamarine/             200   200  path preserved
/natural-rough-chrysoprase        /natural-rough-chrysoprase/            200   200  path preserved
/natural-rough-italian-jade       /natural-rough-italian-jade/           200   200  path preserved
/natural-rough-jasper             /natural-rough-jasper/                 200   200  path preserved
/natural-rough-ruby-c-quality     /natural-rough-ruby-c-quality/         200   200  path preserved
/natural-rough-ruby-trapiche      /natural-rough-ruby-trapiche/          200   200  path preserved
/natural-rough-ruby-gem-quality   /natural-rough-ruby-gem-quality/       200   200  path preserved
/natural-rough-rutilated-quartz   /natural-rough-rutilated-quartz/       200   200  path preserved
/natural-rough-tourmaline         /natural-rough-tourmaline/             200   200  path preserved
/natural-rough-peridot            /natural-rough-peridot/                200   200  path preserved
/natural-rough-emerald            /natural-rough-emerald/                200   200  path preserved
/redemption-portal                /redemption-portal/                    200   200  path preserved
/gemstone-tokenization            /gemstone-tokenization/                200   200  path preserved
/physical-redemption              /physical-redemption/                  200   200  path preserved
/digital-asset-passports          /digital-asset-passports/              200   200  path preserved
/enterprise                       /enterprise/                           200   200  path preserved
/enterprise-tokenization          /enterprise-tokenization/              200   200  path preserved
/gemstone-owners                  /gemstone-owners/                      200   200  path preserved
/gemstone-buyers                  /gemstone-buyers/                      200   200  path preserved
/licensing-white-label            /licensing-white-label/                200   200  path preserved
/future-infrastructure            /future-infrastructure/                200   200  path preserved
/investors                        /investors/                            200   200  path preserved
/about                            /about/                                200   200  path preserved
/governance                       /governance/                           200   200  path preserved
/contact                          /contact/                              200   200  path preserved
/program-overview                 /program-overview/                     200   200  path preserved
/discount-methodology             /discount-methodology/                 200   200  path preserved
/token-acquisition                /token-acquisition/                    200   200  path preserved
/restricted-jurisdictions         /restricted-jurisdictions/             200   200  path preserved
/early-participation              /early-participation/                  200   200  path preserved
/eligibility-kyc                  /eligibility-kyc/                      200   200  path preserved
/faq                              /faq/                                  200   200  path preserved
/independent-verification         /independent-verification/             200   200  path preserved
/custody-vault-structure          /custody-vault-structure/              200   200  path preserved
/proof-of-reserves                /proof-of-reserves/                    200   200  path preserved
/corporate-development            /corporate-development/                200   200  path preserved
/news                             /news/                                 200   200  path preserved
/resources                        /resources/                            200   200  path preserved
/documents                        /documents/                            200   200  path preserved
/whitepaper                       /whitepaper/                           200   200  path preserved
/risk-disclosure                  /risk-disclosure/                      200   200  path preserved
/anti-fraud-notice                /anti-fraud-notice/                    200   200  path preserved
/participant-portal               /participant-portal/                   200   200  path preserved
/early-participation-program      /early-participation-program/          200   200  path preserved

paths preserved: 58/58   needing a redirect: 0
